i	0.764	2
i	2.3751	5
i	2.4647	6
i	5.2988	11
i	6.1707	13
i	6.6715	15
h 0	14.5016	2
i	16.3169	31
i	26.1147	50
i	30.0776	60
i	30.1465	61
h 0	31.1811	5
i	31.4695	64
i	32.9735	67
i	35.7868	74
h 0	36.8402	13
i	40.5002	83
i	42.4373	87
i	44.2521	90
i	49.7407	100
i	51.8724	106
i	52.8746	109
i	58.7134	121
h 0	59.979	15
h 0	59.9968	61
i	61.6921	129
i	65.9082	136
i	66.7169	138
i	68.0179	142
h 0	69.3623	64
h 0	69.3732	121
i	69.7919	146
i	73.6001	156
i	73.6908	157
h 0	74.1626	50
h 0	74.431	90
h 0	74.7041	67
h 0	82.7409	2
i	83.9549	175
h 0	88.9357	60
h 0	92.1909	5
i	94.195	193
i	94.205	194
h 0	97.3543	87
i	99.2398	205
h 0	103.185	83
h 0	103.467	13
h 0	104.136	109
i	104.279	215
i	104.52	217
h 0	105.078	106
i	105.281	220
i	106.96	224
i	108.593	227
i	110.522	231
i	110.639	232
i	110.651	233
i	110.652	234
h 0	110.992	194
i	112.423	238
h 0	113.2	138
i	113.523	241
i	114.069	243
h 0	114.851	100
h 0	116.686	233
h 0	117.308	136
h 0	117.688	156
i	117.911	249
h 0	118.717	175
i	119.259	253
i	119.348	254
h 0	119.909	142
i	122.211	261
h 0	123.493	15
h 0	124.735	231
i	124.765	267
h 0	125.159	121
i	125.376	270
i	129.502	280
i	131.081	285
h 0	131.643	220
h 0	132.213	146
h 0	134.263	64
h 0	138.173	234
h 0	138.945	50
h 0	140.207	90
h 0	146.701	205
h 0	148.089	60
h 0	148.594	217
i	149.865	318
h 0	150.906	193
h 0	151.565	267
h 0	152.253	285
h 0	153.004	318
h 0	153.201	5
h 0	153.535	249
i	155.396	326
h 0	157.155	87
i	160.063	337
i	160.077	338
i	161.912	342
i	161.951	343
i	163.498	347
i	163.608	348
h 0	164.338	253
h 0	166.822	83
h 0	168.082	241
i	169.136	360
i	169.239	361
i	169.938	364
i	170.044	365
h 0	170.095	13
i	170.109	366
i	170.372	368
i	171.928	371
h 0	172.54	106
h 0	173.497	109
i	173.502	374
h 0	173.641	194
h 0	175.491	233
h 0	178.079	337
h 0	179.096	175
h 0	179.604	138
h 1	180.618	100
