i	3.7125	8
i	6.6382	14
i	6.9287	16
i	8.0392	18
i	14.5411	27
i	15.6147	29
i	17.5007	33
i	18.3597	35
i	18.5431	36
h 0	19.7791	31
i	20.1656	39
i	21.1055	41
h 0	22.5616	16
i	23.7194	45
i	24.6821	47
i	26.378	51
i	26.693	52
i	29.0491	56
i	29.838	58
i	30.0475	59
i	30.5085	62
h 0	31.4176	33
h 0	33.2313	8
i	33.9262	69
i	34.3172	70
i	34.5616	71
h 0	34.5888	51
h 0	35.0384	27
h 0	35.2084	59
h 0	35.8755	35
h 0	35.965	58
i	39.6147	80
i	40.0565	81
i	40.4699	82
i	40.9378	84
h 0	41.3452	56
i	44.4137	91
i	45.7355	93
h 0	45.8137	29
i	46.8189	95
h 0	46.8671	70
h 0	46.8913	91
h 0	47.1955	52
i	47.9596	97
i	49.8717	101
i	51.736	104
i	51.8561	105
i	52.1682	107
h 0	52.3995	6
i	53.015	110
h 0	53.0839	93
i	53.1753	111
i	53.3139	112
i	56.0634	116
h 0	56.7846	36
h 0	56.8784	69
h 0	57.5484	111
h 0	57.5897	47
i	59.6377	123
i	59.797	124
i	60.7473	126
h 0	61.3701	95
i	61.6067	128
i	63.0775	131
i	63.4155	132
h 0	64.9069	11
h 0	65.7089	71
h 0	65.7856	124
i	67.1424	139
i	67.5499	140
i	67.9581	141
i	69.0102	144
i	69.9228	147
i	70.192	148
i	70.3419	149
h 0	71.1612	148
i	71.8426	152
i	72.2491	153
i	73.5822	155
h 0	74.2721	18
i	76.8244	162
i	76.9996	163
h 0	77.8761	62
i	79.1389	166
h 0	79.4739	39
i	80.3971	168
i	82.3511	171
i	83.9543	174
i	84.3763	176
i	85.5301	178
i	85.6905	179
h 0	85.7958	110
h 0	86.7871	74
h 0	87.0671	80
h 0	87.9335	112
i	88.6204	183
h 0	88.7466	31
h 0	90.1446	178
h 0	90.446	149
i	91.1457	187
i	93.0082	190
h 0	94.0569	107
i	94.191	192
i	94.5001	195
i	94.7568	196
h 0	94.9696	16
i	95.1854	197
h 0	96.167	104
i	96.262	199
i	97.7408	202
h 0	100.195	101
i	100.214	207
h 0	102.084	174
i	102.693	211
i	103.147	212
i	103.516	213
i	104.501	216
h 0	104.53	126
h 0	104.692	58
h 0	104.742	33
i	104.801	218
h 0	104.925	128
i	105.28	219
i	105.55	221
i	105.974	222
h 0	106.689	59
h 0	107.67	51
h 0	108.942	27
i	110.93	235
h 0	112.147	35
h 0	112.714	97
h 0	112.838	227
h 0	113.404	91
h 0	113.465	116
i	113.507	240
h 0	113.639	6
i	113.961	242
h 0	115.629	152
h 0	115.726	232
h 0	116.815	147
h 0	117.75	29
i	118.234	250
i	118.461	251
i	120.189	256
h 0	120.708	52
i	121.305	258
i	121.434	259
h 0	121.519	183
h 0	121.991	105
h 0	122.441	36
i	123.175	263
i	123.411	264
i	123.891	265
h 0	124.517	111
h 0	124.559	129
i	125.12	268
i	125.359	269
h 0	125.808	61
i	126.127	272
h 0	126.219	144
i	126.531	273
h 0	126.773	157
h 0	127.178	163
h 1	127.708	69
h 0	128.281	190
i	128.43	276
i	128.652	277
i	129.498	279
h 0	129.861	11
i	129.968	281
h 0	130.113	250
i	130.177	282
i	131.036	284
i	132.978	288
i	133.179	289
h 0	133.775	243
h 0	133.926	95
h 0	134.128	215
h 0	134.523	162
h 0	134.66	124
h 0	135.189	187
h 0	136.768	263
i	136.815	294
h 0	136.935	71
i	137.15	295
h 0	138.074	132
h 0	139.106	195
i	139.592	299
h 0	140.599	258
h 0	140.74	67
h 0	141.905	18
